Name,Age,Email,Join_Date,Salary
Ahmad rizwan,22,ahmad@gmail.com,2024/01/12,60000
ali Khan,25,ali@gmail.com,2024-02-15,60000
Sara shahzad,,sara@gmail.com,15-03-2024,55000
Ahmad rizwan,22,ahmad@gmail.com,2024/01/12,60000
John Dallas,30,,2024-04-10,
Ayesha minhas,27,ayesha@gmail.com,2024/05/01,65000
Bilal tanveer,twenty,bilal@gmail.com,2024-06-12,70000
Kiran Simran,29,kiran@gmail,2024/07/15,72000
Omar hayyat,31,omar@gmail.com,2024-08-20,80000
Zara ali,28,,20-09-2024,67000
Ali,25,ali@gmail.com,2024-02-15,60000
Usman amjad, ,usman@gmail.com,2024/10/10,90000
Fatima ramzan,26,fatima@gmail.com,2024-11-05,not_available
hassan ali,35,hassan@gmail.com,2024/12/01,100000
Noor Zakir,24,noor@gmail.com,01-01-2024,48000
Sara,,sara@gmail.com,15-03-2024,55000
Hamza,40,hamza@gmail.com,2024/03/18,
Aliya,23,aliya@gmail.com,2024-04-25,52000
Zain,NaN,zain@gmail.com,2024-05-30,61000
Imran,33,imran@gmail.com,invalid_date,75000
